Start Time,Frequency,Node Name,MAC Address,Total Bytes Sent,Total Bytes Received,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575690061155,2500.006,169.254.143.93,66:7b:ea:16:4b:85,90.00B,90.00B,4.055929183959961e-06,4.2203903198242185e-06,1.6446113586425738e-07
1575690061067,2500.008,169.254.65.117,fa:4a:ff:aa:60:81,90.00B,90.00B,4.650974273681641e-06,4.536676406860351e-06,-1.142978668212895e-07
1575690061074,2500.006,169.254.240.13,72:a2:3a:05:ec:67,90.00B,90.00B,4.515838623046875e-06,4.618167877197266e-06,1.02329254150391e-07
1575690061136,2500.01,169.254.35.101,d2:03:d9:da:54:44,90.00B,90.00B,4.619455337524414e-06,4.361963272094727e-06,-2.574920654296871e-07
1575690061895,2500.002,169.254.146.141,46:85:22:68:84:47,90.00B,90.00B,4.4397354125976564e-06,4.272937774658203e-06,-1.6679763793945318e-07
1575690061889,2500.002,169.254.146.125,92:ee:4d:fb:7e:08,90.00B,90.00B,7.1808338165283205e-06,4.261350631713867e-06,-2.9194831848144533e-06
1575690061990,2500.004,169.254.19.173,ce:6c:10:28:36:b5,90.00B,90.00B,4.233980178833008e-06,4.171943664550781e-06,-6.203651428222682e-08
1575690061897,2500.002,169.254.146.117,1a:73:c3:fd:89:ea,90.00B,90.00B,4.558992385864258e-06,4.300737380981445e-06,-2.5825500488281286e-07
1575690062000,2500.004,169.254.19.181,c6:24:0f:8d:2d:33,176.00B,90.00B,4.359197616577148e-06,4.349184036254883e-06,-1.0013580322265157e-08
1575690061987,2500.004,169.254.8.69,b6:07:68:cd:79:16,90.00B,90.00B,4.682159423828125e-06,4.234457015991211e-06,-4.477024078369142e-07
